5, 1-1#墩左幅, 1,1,桥墩墩帽, 左幅,4,-33250.95,-13834.39,884.37,-42281,-9906.65,688.8,-41834.48,-9337.51,690.26,-32804.26,-13265.04,885.83,-33142.53,-14263.22,1240.83,-42835.93,-10046.95,1030.89,-41942.9,-8908.68,1033.81,-32249.32,-13124.73,1243.74
5, 1-1#墩左幅, 2,1,桥墩墩身, 左幅,4,-33250.95,-13834.39,-42000,-42281,-9906.65,-42000,-41834.48,-9337.51,-42000,-32804.26,-13265.04,-42000,-33250.95,-13834.39,884.37,-42281,-9906.65,688.8,-41834.48,-9337.51,690.26,-32804.26,-13265.04,885.83
5, 1-1#墩左幅, 3,1,桥墩承台, 左幅,4,-33142.53,-14263.22,-43500,-42835.93,-10046.95,-43500,-41942.9,-8908.68,-43500,-32249.32,-13124.73,-43500,-33142.53,-14263.22,-42000,-42835.93,-10046.95,-42000,-41942.9,-8908.68,-42000,-32249.32,-13124.73,-42000
6, 0-1#墩左幅, 0,0,桥墩墩帽, 左幅,4,-17013.57,-21278.73,1590.13,-33123.4,-14271.24,1241.24,-32230.37,-13132.98,1244.15,-16120.54,-20140.47,1593.05,-17013.57,-21278.73,1940.13,-33123.4,-14271.24,1591.24,-32230.37,-13132.98,1594.15,-16120.54,-20140.47,1943.05
6, 0-1#墩左幅, 1,0,桥墩墩帽, 左幅,4,-16949.79,-21197.42,1240.34,-33059.79,-14190.16,891.44,-32294.33,-13214.5,893.94,-16184.33,-20221.77,1242.84,-16949.79,-21197.42,1590.34,-33059.79,-14190.16,1241.44,-32294.33,-13214.5,1243.94,-16184.33,-20221.77,1592.84
6, 0-1#墩左幅, 2,0,桥墩墩身, 左幅,4,-16980.76,-21074.9,-42000,-32901.24,-14150.07,-42000,-32263.35,-13337.03,-42000,-16342.88,-20261.85,-42000,-16980.76,-21074.9,1238.5,-32901.24,-14150.07,893.7,-32263.35,-13337.03,895.78,-16342.88,-20261.85,1240.58
6, 0-1#墩左幅, 3,0,桥墩承台, 左幅,4,-16949.79,-21197.42,-42600,-33059.79,-14190.16,-42600,-32294.33,-13214.5,-42600,-16184.33,-20221.77,-42600,-16949.79,-21197.42,-42000,-33059.79,-14190.16,-42000,-32294.33,-13214.5,-42000,-16184.33,-20221.77,-42000
7, 0-1#墩右幅, 0,0,桥墩墩帽, 右幅,4,-429.59,-28491.88,1259.93,-16539.75,-21484.83,1591.15,-15646.71,-20346.56,1594.03,463.45,-27353.62,1262.81,-429.59,-28491.88,1609.93,-16539.75,-21484.83,1941.15,-15646.71,-20346.56,1944.03,463.45,-27353.62,1612.81
7, 0-1#墩右幅, 1,0,桥墩墩帽, 右幅,4,-365.96,-28410.78,910.14,-16475.96,-21403.52,1241.36,-15710.5,-20427.86,1243.82,399.5,-27435.13,912.6,-365.96,-28410.78,1260.14,-16475.96,-21403.52,1591.36,-15710.5,-20427.86,1593.82,399.5,-27435.13,1262.6
7, 0-1#墩右幅, 2,0,桥墩墩身, 右幅,4,-396.93,-28288.26,-42000,-16317.41,-21363.43,-42000,-15679.53,-20550.39,-42000,240.95,-27475.21,-42000,-396.93,-28288.26,912.29,-16317.41,-21363.43,1239.62,-15679.53,-20550.39,1241.67,240.95,-27475.21,914.35
7, 0-1#墩右幅, 3,0,桥墩承台, 右幅,4,-365.96,-28410.78,-42600,-16475.96,-21403.52,-42600,-15710.5,-20427.86,-42600,399.5,-27435.13,-42600,-365.96,-28410.78,-42000,-16475.96,-21403.52,-42000,-15710.5,-20427.86,-42000,399.5,-27435.13,-42000
8, 1-1#墩右幅, 0,1,桥墩墩帽, 右幅,4,9282.5,-32716.56,1060.25,-410.63,-28500.13,1259.55,482.4,-27361.86,1262.42,10175.54,-31578.3,1063.13,9282.5,-32716.56,1410.25,-410.63,-28500.13,1609.55,482.4,-27361.86,1612.42,10175.54,-31578.3,1413.13
8, 1-1#墩右幅, 1,1,桥墩墩帽, 右幅,4,9174.09,-32287.72,717.79,144.3,-28359.84,903.44,590.82,-27790.7,904.88,9620.61,-31718.59,719.23,9282.5,-32716.56,1060.25,-410.63,-28500.13,1259.55,482.4,-27361.86,1262.42,10175.54,-31578.3,1063.13
8, 1-1#墩右幅, 2,1,桥墩墩身, 右幅,4,9174.09,-32287.72,-42000,144.3,-28359.84,-42000,590.82,-27790.7,-42000,9620.61,-31718.59,-42000,9174.09,-32287.72,717.79,144.3,-28359.84,903.44,590.82,-27790.7,904.88,9620.61,-31718.59,719.23
8, 1-1#墩右幅, 3,1,桥墩承台, 右幅,4,9282.5,-32716.56,-43500,-410.63,-28500.13,-43500,482.4,-27361.86,-43500,10175.54,-31578.3,-43500,9282.5,-32716.56,-42000,-410.63,-28500.13,-42000,482.4,-27361.86,-42000,10175.54,-31578.3,-42000
9, 1-2#墩左幅, 0,1,桥墩墩帽, 左幅,4,-26969.76,-6395.4,1260.96,-36663.34,-2179.35,1051.03,-35770.3,-1041.09,1053.94,-26076.72,-5257.14,1263.87,-26969.76,-6395.4,1610.96,-36663.34,-2179.35,1401.03,-35770.3,-1041.09,1403.94,-26076.72,-5257.14,1613.87
9, 1-2#墩左幅, 1,1,桥墩墩帽, 左幅,4,-27078.18,-5966.58,904.5,-36108.39,-2039.04,708.94,-35661.88,-1469.92,710.39,-26631.67,-5397.45,905.96,-26969.76,-6395.4,1260.96,-36663.34,-2179.35,1051.03,-35770.3,-1041.09,1053.94,-26076.72,-5257.14,1263.87
9, 1-2#墩左幅, 2,1,桥墩墩身, 左幅,4,-27078.18,-5966.58,-42000,-36108.39,-2039.04,-42000,-35661.88,-1469.92,-42000,-26631.67,-5397.45,-42000,-27078.18,-5966.58,904.5,-36108.39,-2039.04,708.94,-35661.88,-1469.92,710.39,-26631.67,-5397.45,905.96
9, 1-2#墩左幅, 3,1,桥墩承台, 左幅,4,-26969.76,-6395.4,-43500,-36663.34,-2179.35,-43500,-35770.3,-1041.09,-43500,-26076.72,-5257.14,-43500,-26969.76,-6395.4,-42000,-36663.34,-2179.35,-42000,-35770.3,-1041.09,-42000,-26076.72,-5257.14,-42000
10, 0-2#墩左幅, 0,0,桥墩墩帽, 左幅,4,-10840.98,-13411.14,1610.27,-26950.8,-6403.65,1261.37,-26057.77,-5265.38,1264.28,-9947.94,-12272.87,1613.18,-10840.98,-13411.14,1960.27,-26950.8,-6403.65,1611.37,-26057.77,-5265.38,1614.28,-9947.94,-12272.87,1963.18
10, 0-2#墩左幅, 1,0,桥墩墩帽, 左幅,4,-10777.19,-13329.83,1260.47,-26887.19,-6322.57,911.58,-26121.73,-5346.91,914.07,-10011.73,-12354.17,1262.97,-10777.19,-13329.83,1610.47,-26887.19,-6322.57,1261.58,-26121.73,-5346.91,1264.07,-10011.73,-12354.17,1612.97
10, 0-2#墩左幅, 2,0,桥墩墩身, 左幅,4,-10808.16,-13207.31,-42000,-26728.64,-6282.48,-42000,-26090.76,-5469.43,-42000,-10170.28,-12394.26,-42000,-10808.16,-13207.31,1258.63,-26728.64,-6282.48,913.84,-26090.76,-5469.43,915.92,-10170.28,-12394.26,1260.71
10, 0-2#墩左幅, 3,0,桥墩承台, 左幅,4,-10777.19,-13329.83,-42600,-26887.19,-6322.57,-42600,-26121.73,-5346.91,-42600,-10011.73,-12354.17,-42600,-10777.19,-13329.83,-42000,-26887.19,-6322.57,-42000,-26121.73,-5346.91,-42000,-10011.73,-12354.17,-42000
11, 0-2#墩右幅, 0,0,桥墩墩帽, 右幅,4,5743.01,-20624.29,1279.8,-10369.09,-13616.39,1611.06,-9476.2,-12478.06,1613.94,6636.05,-19486.03,1282.68,5743.01,-20624.29,1629.8,-10369.09,-13616.39,1961.06,-9476.2,-12478.06,1963.94,6636.05,-19486.03,1632.68
11, 0-2#墩右幅, 1,0,桥墩墩帽, 右幅,4,5806.64,-20543.19,930.01,-10303.36,-13535.93,1261.23,-9537.9,-12560.27,1263.69,6572.26,-19567.33,932.47,5806.64,-20543.19,1280.01,-10303.36,-13535.93,1611.23,-9537.9,-12560.27,1613.69,6572.26,-19567.33,1282.47
11, 0-2#墩右幅, 2,0,桥墩墩身, 右幅,4,5775.66,-20420.67,-42000,-10144.81,-13495.84,-42000,-9506.93,-12682.79,-42000,6413.71,-19607.42,-42000,5775.66,-20420.67,932.16,-10144.81,-13495.84,1259.48,-9506.93,-12682.79,1261.54,6413.71,-19607.42,934.22
11, 0-2#墩右辐, 3,0,桥墩承台, 右辐,4,5806.64,-20543.19,-42600,-10303.36,-13535.93,-42600,-9537.9,-12560.27,-42600,6572.26,-19567.33,-42600,5806.64,-20543.19,-42000,-10303.36,-13535.93,-42000,-9537.9,-12560.27,-42000,6572.26,-19567.33,-42000
12, 1-2#墩右幅, 0,1,桥墩墩帽, 右幅,4,15453.16,-24848.13,1080.16,5761.97,-20632.53,1279.41,6655,-19494.27,1282.29,16346.06,-23709.8,1083.04,15453.16,-24848.13,1430.16,5761.97,-20632.53,1629.41,6655,-19494.27,1632.29,16346.06,-23709.8,1433.04
12, 1-2#墩右幅, 1,1,桥墩墩帽, 右幅,4,15344.72,-24419.28,737.7,6316.89,-20492.24,923.31,6763.42,-19923.11,924.75,15791.17,-23850.11,739.14,15453.16,-24848.13,1080.16,5761.97,-20632.53,1279.41,6655,-19494.27,1282.29,16346.06,-23709.8,1083.04
12, 1-2#墩右幅, 2,1,桥墩墩身, 右幅,4,15344.72,-24419.28,-42000,6316.89,-20492.24,-42000,6763.42,-19923.11,-42000,15791.17,-23850.11,-42000,15344.72,-24419.28,737.7,6316.89,-20492.24,923.31,6763.42,-19923.11,924.75,15791.17,-23850.11,739.14
12, 1-2#墩右幅, 3,1,桥墩承台, 右幅,4,15453.16,-24848.13,-43500,5761.97,-20632.53,-43500,6655,-19494.27,-43500,16346.06,-23709.8,-43500,15453.16,-24848.13,-42000,5761.97,-20632.53,-42000,6655,-19494.27,-42000,16346.06,-23709.8,-42000
13, 1-3#墩左幅, 0,1,桥墩墩帽, 左幅,4,-20639.63,1677.01,1281.56,-30330.84,5892.05,1071.68,-29661.06,6745.75,1073.86,-19967.66,2529.47,1283.79,-20639.63,1677.01,1631.56,-30330.84,5892.05,1421.68,-29661.06,6745.75,1423.86,-19967.66,2529.47,1633.79
13, 1-3#墩左幅, 1,1,桥墩墩帽, 左幅,4,-20415.58,1961.24,932.31,-30107.58,6176.62,722.41,-29661.06,6745.75,723.86,-19967.66,2529.47,933.79,-20639.63,1677.01,1281.56,-30330.84,5892.05,1071.68,-29661.06,6745.75,1073.86,-19967.66,2529.47,1283.79
13, 1-3#墩左幅, 2,1,桥墩墩身, 左幅,4,-20415.58,1961.24,-42000,-30107.58,6176.62,-42000,-29661.06,6745.75,-42000,-19967.66,2529.47,-42000,-20415.58,1961.24,932.31,-30107.58,6176.62,722.41,-29661.06,6745.75,723.86,-19967.66,2529.47,933.79
13, 1-3#墩左幅, 3,1,桥墩承台, 左幅,4,-20639.63,1677.01,-43500,-30330.84,5892.05,-43500,-29661.06,6745.75,-43500,-19967.66,2529.47,-43500,-20639.63,1677.01,-42000,-30330.84,5892.05,-42000,-29661.06,6745.75,-42000,-19967.66,2529.47,-42000
14, 0-3#墩左幅, 0,0,桥墩墩帽, 左幅,4,-4508.48,-5339.73,1630.92,-20618.32,1667.74,1282.02,-19661.66,2887.1,1285.14,-3551.66,-4120.17,1634.04,-4508.48,-5339.73,1980.92,-20618.32,1667.74,1632.02,-19661.66,2887.1,1635.14,-3551.66,-4120.17,1984.04
14, 0-3#墩左幅, 1,0,桥墩墩帽, 左幅,4,-4444.69,-5258.43,1281.13,-20554.7,1748.83,932.23,-19725.45,2805.79,934.93,-3615.45,-4201.47,1283.83,-4444.69,-5258.43,1631.13,-20554.7,1748.83,1282.23,-19725.45,2805.79,1284.93,-3615.45,-4201.47,1633.83
